temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
Low,Low,Yes,Low,High,Anopheles gambiae,No,Low,Yes,Yes,Low,Urban,No,No,Bad,Good,Yes,0.856959945
High,Low,Yes,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Rural,Yes,No,Good,Bad,Yes,0.223046088
Low,High,Yes,High,High,Aedes aegypti,No,High,Yes,Yes,High,Rural,Yes,Yes,Bad,Good,Yes,0.896014317
High,Low,Yes,Low,Low,Aedes aegypti,Yes,High,Yes,Yes,High,Urban,No,Yes,Good,Good,Yes,0.029916019
Low,Low,No,Low,High,Aedes aegypti,No,High,Yes,No,Low,Urban,No,No,Bad,Good,Yes,0.413864483
Low,High,No,Low,High,Aedes aegypti,No,High,No,Yes,High,Urban,No,No,Bad,Bad,No,0.516625738
High,High,Yes,High,High,Anopheles gambiae,Yes,Low,Yes,Yes,High,Urban,No,No,Good,Good,Yes,0.778983301
Low,High,Yes,High,Low,Anopheles gambiae,No,Low,Yes,No,High,Rural,No,No,Good,Good,Yes,0.633805852
Low,Low,Yes,High,High,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,Yes,Yes,Good,Bad,No,0.14470015
High,High,No,Low,High,Anopheles gambiae,No,Low,Yes,Yes,Low,Urban,No,Yes,Bad,Bad,No,0.747282377
Low,Low,Yes,High,Low,Aedes aegypti,No,Low,No,Yes,High,Rural,Yes,No,Good,Good,Yes,0.76840428
Low,Low,No,Low,High,Culex quinquefasciatus,No,High,No,No,Low,Urban,Yes,Yes,Good,Bad,No,0.661702534
Low,Low,No,Low,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,No,Yes,Bad,Good,Yes,0.281859047
Low,High,No,Low,Low,Aedes aegypti,No,High,No,No,High,Rural,Yes,Yes,Good,Bad,No,0.35666057
High,High,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,High,Urban,Yes,No,Bad,Bad,Yes,0.514657028
High,Low,No,High,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.456148477
High,High,No,High,High,Aedes aegypti,No,High,Yes,Yes,High,Urban,Yes,Yes,Bad,Bad,Yes,0.37810103
High,High,No,Low,High,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Rural,Yes,No,Good,Good,Yes,0.171490103
Low,Low,No,High,High,Anopheles gambiae,No,High,Yes,Yes,Low,Rural,No,No,Bad,Good,No,0.997090447
High,High,No,Low,Low,Aedes aegypti,No,Low,No,No,Low,Rural,Yes,No,Bad,Good,Yes,0.482044273
High,High,Yes,High,High,Anopheles gambiae,No,High,Yes,No,High,Urban,Yes,No,Bad,Good,No,0.760296249
Low,Low,No,Low,Low,Anopheles gambiae,No,High,No,Yes,High,Urban,No,Yes,Bad,Good,Yes,0.035692598
Low,Low,No,High,High,Culex quinquefasciatus,Yes,High,No,Yes,High,Rural,Yes,No,Good,Good,No,0.322391989
Low,High,Yes,High,Low,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.509447456
Low,Low,No,Low,High,Anopheles gambiae,Yes,High,Yes,Yes,High,Urban,Yes,No,Bad,Good,No,0.173574329
High,High,No,Low,High,Culex quinquefasciatus,No,High,No,No,Low,Urban,No,Yes,Bad,Good,No,0.561342316
Low,High,Yes,High,High,Anopheles gambiae,Yes,Low,No,Yes,Low,Urban,No,No,Good,Bad,Yes,0.458291525
Low,Low,Yes,High,High,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,Yes,Yes,Good,Good,Yes,0.536525203
Low,High,Yes,Low,Low,Aedes aegypti,No,High,No,No,Low,Rural,No,Yes,Bad,Bad,Yes,0.535574584
Low,High,No,Low,High,Culex quinquefasciatus,No,Low,No,No,Low,Rural,Yes,Yes,Bad,Good,No,0.055164224
High,High,No,High,High,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Rural,Yes,No,Good,Good,Yes,0.118974352
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,Low,No,Yes,High,Rural,No,Yes,Bad,Bad,Yes,0.028864642
High,High,Yes,Low,Low,Culex quinquefasciatus,No,High,No,Yes,High,Urban,No,Yes,Good,Bad,Yes,0.770200626
High,High,No,High,Low,Anopheles gambiae,No,High,No,Yes,High,Rural,No,No,Good,Good,No,0.036025033
Low,Low,No,Low,High,Anopheles gambiae,Yes,High,Yes,No,High,Urban,Yes,Yes,Good,Bad,Yes,0.092650981
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Rural,No,No,Good,Bad,No,0.912478203
High,High,No,High,High,Aedes aegypti,No,Low,Yes,No,High,Urban,Yes,No,Bad,Bad,Yes,0.062080469
High,Low,No,Low,High,Aedes aegypti,Yes,Low,No,No,High,Rural,No,Yes,Good,Bad,No,0.197995233
Low,Low,Yes,High,High,Culex quinquefasciatus,No,Low,Yes,No,High,Urban,Yes,Yes,Bad,Good,Yes,0.128291941
Low,Low,No,Low,Low,Culex quinquefasciatus,No,High,Yes,No,High,Urban,No,No,Bad,Good,Yes,0.338674242
Low,Low,No,High,Low,Aedes aegypti,No,Low,No,No,Low,Urban,Yes,Yes,Good,Good,Yes,0.69325709
Low,Low,No,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Rural,No,No,Good,Good,Yes,0.649109237
Low,Low,Yes,Low,Low,Aedes aegypti,Yes,High,No,No,High,Urban,Yes,Yes,Good,Bad,No,0.582280988
High,High,No,Low,High,Culex quinquefasciatus,No,High,No,No,Low,Urban,No,No,Good,Bad,Yes,0.014338589
Low,High,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Urban,Yes,No,Good,Good,No,0.652727666
High,High,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,Low,Rural,No,No,Good,Good,No,0.365089589
Low,Low,Yes,Low,Low,Aedes aegypti,No,High,No,No,High,Urban,No,Yes,Good,Good,Yes,0.9375701
Low,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,No,High,Rural,No,No,Bad,Bad,Yes,0.033937299
High,Low,No,High,Low,Culex quinquefasciatus,No,Low,Yes,No,Low,Rural,No,No,Good,Bad,No,0.928745351
Low,High,Yes,High,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Rural,Yes,Yes,Good,Bad,No,0.073038211
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,No,No,High,Urban,Yes,Yes,Good,Good,No,0.548036247
Low,Low,Yes,Low,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Rural,Yes,Yes,Good,Bad,Yes,0.838604299
Low,High,Yes,Low,Low,Culex quinquefasciatus,No,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.26666606
High,Low,No,High,High,Anopheles gambiae,No,High,No,No,High,Rural,No,Yes,Good,Bad,No,0.217448777
High,High,Yes,High,High,Anopheles gambiae,Yes,High,No,No,High,Urban,Yes,No,Bad,Bad,Yes,0.516932816
Low,Low,No,Low,High,Aedes aegypti,Yes,High,No,Yes,Low,Urban,No,Yes,Good,Good,Yes,0.022282698
High,High,No,High,High,Anopheles gambiae,No,Low,No,No,High,Rural,Yes,Yes,Good,Good,Yes,0.906626647
High,Low,Yes,High,High,Culex quinquefasciatus,Yes,Low,No,No,High,Rural,No,No,Good,Bad,Yes,0.150059603
Low,Low,No,Low,High,Aedes aegypti,No,High,Yes,No,Low,Urban,No,Yes,Good,Good,Yes,0.83787065
Low,Low,No,Low,Low,Culex quinquefasciatus,Yes,High,Yes,No,High,Rural,No,Yes,Good,Bad,Yes,0.491293695
Low,High,Yes,High,High,Anopheles gambiae,No,High,No,No,High,Urban,Yes,No,Good,Good,No,0.057241471
Low,High,Yes,Low,Low,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,Yes,No,Good,Good,No,0.384402967
Low,High,No,Low,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,No,No,Good,Good,Yes,0.783844976
High,High,No,High,High,Aedes aegypti,Yes,Low,Yes,Yes,Low,Rural,No,Yes,Good,Bad,Yes,0.764757272
High,High,Yes,High,High,Aedes aegypti,Yes,Low,No,Yes,Low,Rural,No,No,Bad,Good,Yes,0.575812967
Low,Low,No,High,Low,Aedes aegypti,Yes,Low,Yes,No,High,Rural,No,Yes,Good,Bad,Yes,0.233625388
Low,Low,No,Low,High,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.381696171
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.822648602
High,Low,No,High,Low,Anopheles gambiae,No,Low,No,No,Low,Rural,Yes,Yes,Bad,Good,Yes,0.223573018
Low,Low,No,High,High,Anopheles gambiae,No,High,No,Yes,Low,Urban,No,No,Bad,Good,Yes,0.446713642
High,High,No,Low,Low,Aedes aegypti,Yes,High,No,No,High,Urban,No,Yes,Good,Bad,Yes,0.213081157
Low,Low,No,Low,High,Culex quinquefasciatus,No,High,No,Yes,Low,Rural,Yes,Yes,Bad,Good,No,0.390262576
High,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Rural,No,Yes,Good,Good,Yes,0.880625802
Low,High,Yes,Low,Low,Aedes aegypti,Yes,Low,No,No,High,Rural,Yes,No,Good,Bad,No,0.010570593
Low,Low,Yes,High,High,Culex quinquefasciatus,Yes,High,No,No,High,Rural,No,No,Good,Bad,No,0.817934434
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,High,Urban,Yes,No,Good,Good,No,0.248102569
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,Low,Yes,No,High,Rural,Yes,Yes,Bad,Good,No,0.435407989
Low,High,Yes,High,High,Aedes aegypti,Yes,High,No,No,High,Rural,Yes,No,Good,Bad,Yes,0.929843721
High,Low,Yes,High,Low,Anopheles gambiae,No,Low,Yes,No,Low,Urban,No,Yes,Good,Good,No,0.911351773
High,Low,No,Low,High,Aedes aegypti,No,High,Yes,No,High,Urban,No,No,Bad,Bad,Yes,0.98771578
High,High,Yes,Low,Low,Culex quinquefasciatus,No,High,No,No,Low,Urban,No,No,Good,Good,No,0.518298268
High,High,No,Low,High,Culex quinquefasciatus,Yes,High,No,No,Low,Rural,No,No,Bad,Good,Yes,0.829594841
Low,Low,Yes,High,High,Culex quinquefasciatus,No,Low,Yes,No,Low,Rural,No,No,Bad,Good,Yes,0.538477837
High,High,Yes,High,Low,Aedes aegypti,No,Low,Yes,Yes,High,Urban,No,No,Good,Bad,No,0.051463095
High,High,No,High,High,Anopheles gambiae,No,High,Yes,Yes,High,Urban,No,No,Good,Bad,No,0.837752899
Low,Low,No,Low,Low,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Urban,No,No,Bad,Bad,No,0.151996756
High,Low,No,Low,Low,Culex quinquefasciatus,No,High,Yes,No,High,Rural,Yes,No,Good,Bad,No,0.552343886
High,High,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.747666169
High,Low,Yes,High,Low,Anopheles gambiae,No,High,No,No,High,Urban,No,Yes,Good,Bad,No,0.216943312
Low,Low,No,High,High,Aedes aegypti,No,Low,No,No,Low,Urban,Yes,No,Good,Bad,Yes,0.927582844
Low,Low,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Rural,No,Yes,Good,Good,Yes,0.630859223
High,High,No,Low,Low,Anopheles gambiae,No,Low,No,No,Low,Urban,Yes,Yes,Good,Bad,Yes,0.503705937
Low,High,No,Low,High,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,Yes,Yes,Good,Bad,No,0.784322129
Low,High,No,High,Low,Aedes aegypti,Yes,High,No,Yes,Low,Urban,Yes,Yes,Good,Good,Yes,0.659346514
High,Low,No,Low,Low,Aedes aegypti,Yes,High,No,Yes,Low,Urban,No,No,Good,Good,No,0.018260735
High,Low,No,High,Low,Anopheles gambiae,Yes,High,No,No,High,Rural,Yes,Yes,Bad,Good,Yes,0.845239915
High,High,No,Low,Low,Anopheles gambiae,No,Low,No,Yes,High,Rural,No,Yes,Bad,Good,No,0.057140143
Low,Low,No,High,Low,Culex quinquefasciatus,No,Low,No,No,High,Rural,No,Yes,Bad,Good,Yes,0.544239577
Low,High,Yes,Low,High,Anopheles gambiae,Yes,High,Yes,Yes,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.153993079
High,High,Yes,High,High,Anopheles gambiae,No,High,No,Yes,High,Rural,No,No,Bad,Good,Yes,0.604977906
High,High,Yes,High,High,Aedes aegypti,Yes,High,Yes,Yes,High,Rural,Yes,Yes,Bad,Bad,Yes,0.52764497
High,High,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Urban,No,No,Good,Bad,No,0.16618145
High,Low,No,Low,Low,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,Yes,Yes,Bad,Good,Yes,0.616282229
High,High,No,High,High,Anopheles gambiae,Yes,High,Yes,No,High,Rural,Yes,No,Good,Good,No,0.240988702
Low,High,No,High,High,Anopheles gambiae,No,Low,Yes,No,Low,Rural,No,No,Good,Good,Yes,0.781357802
Low,Low,No,High,High,Anopheles gambiae,Yes,High,No,No,Low,Urban,No,Yes,Good,Good,No,0.663962388
High,High,No,High,Low,Aedes aegypti,Yes,High,No,No,High,Urban,No,No,Bad,Bad,No,0.5752142
High,High,No,Low,High,Anopheles gambiae,Yes,Low,Yes,No,High,Rural,No,Yes,Good,Good,No,0.63647201
Low,Low,Yes,High,High,Anopheles gambiae,No,High,No,No,Low,Rural,No,No,Bad,Bad,Yes,0.634689162
Low,Low,No,Low,High,Aedes aegypti,Yes,High,Yes,No,High,Rural,No,No,Bad,Bad,Yes,0.530791406
High,Low,Yes,High,Low,Anopheles gambiae,No,Low,No,Yes,High,Urban,Yes,Yes,Bad,Good,Yes,0.804598384
High,High,No,High,Low,Aedes aegypti,Yes,High,No,Yes,Low,Urban,Yes,No,Good,Good,Yes,0.341793079
High,High,Yes,Low,High,Anopheles gambiae,No,High,Yes,No,High,Urban,No,No,Good,Bad,No,0.133212014
Low,High,No,Low,High,Anopheles gambiae,Yes,Low,No,No,Low,Urban,Yes,Yes,Bad,Good,No,0.727308278
High,Low,Yes,High,High,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Rural,No,No,Good,Good,Yes,0.249059074
Low,Low,Yes,High,High,Anopheles gambiae,No,High,Yes,No,High,Rural,Yes,Yes,Bad,Good,No,0.880245489
Low,Low,No,Low,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Urban,No,No,Good,Good,Yes,0.222960544
High,High,No,High,High,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Urban,No,No,Good,Good,No,0.524783227
High,Low,No,High,High,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,No,Good,Bad,Yes,0.928481705
High,High,No,Low,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,No,No,Good,Bad,No,0.774625586
Low,High,Yes,Low,High,Aedes aegypti,Yes,High,Yes,No,Low,Rural,Yes,No,Bad,Bad,Yes,0.862120657
Low,High,No,Low,Low,Culex quinquefasciatus,No,High,Yes,No,Low,Urban,No,No,Bad,Bad,No,0.225960201
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,Low,No,No,High,Rural,No,Yes,Good,Bad,Yes,0.699452132
High,High,No,Low,Low,Aedes aegypti,Yes,High,No,Yes,High,Rural,Yes,No,Bad,Good,No,0.181447264
Low,Low,Yes,High,Low,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,No,No,Bad,Good,Yes,0.731965505
High,High,Yes,High,High,Aedes aegypti,No,High,No,Yes,Low,Rural,Yes,Yes,Good,Bad,No,0.071040853
High,High,No,Low,High,Culex quinquefasciatus,Yes,High,No,No,Low,Urban,No,Yes,Bad,Good,Yes,0.771828101
Low,Low,No,Low,High,Anopheles gambiae,No,Low,Yes,Yes,Low,Rural,No,Yes,Bad,Bad,No,0.270420584
Low,High,Yes,High,Low,Anopheles gambiae,No,Low,Yes,Yes,Low,Urban,Yes,Yes,Good,Bad,No,0.744936258
Low,High,No,High,Low,Anopheles gambiae,Yes,Low,Yes,Yes,High,Urban,No,No,Bad,Bad,No,0.861499533
High,High,No,Low,Low,Aedes aegypti,Yes,High,Yes,No,High,Rural,Yes,No,Good,Bad,Yes,0.577621311
High,High,Yes,High,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,No,Yes,Good,Bad,Yes,0.137983463
Low,Low,Yes,High,Low,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,Yes,Yes,Good,Good,No,0.295088866
Low,High,No,High,Low,Culex quinquefasciatus,No,High,Yes,Yes,High,Rural,Yes,No,Bad,Bad,Yes,0.04264278
Low,High,No,High,High,Aedes aegypti,No,Low,Yes,Yes,High,Urban,No,Yes,Good,Good,Yes,0.444903978
High,Low,Yes,Low,Low,Aedes aegypti,Yes,High,Yes,No,High,Urban,Yes,Yes,Good,Good,Yes,0.461082377
Low,Low,Yes,High,Low,Aedes aegypti,Yes,Low,Yes,No,High,Rural,No,No,Good,Bad,No,0.05300439
Low,Low,No,High,High,Culex quinquefasciatus,Yes,High,No,No,High,Rural,Yes,Yes,Good,Good,Yes,0.631199587
High,High,Yes,High,Low,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,Yes,Yes,Good,Bad,No,0.532337147
High,Low,No,Low,Low,Anopheles gambiae,No,High,Yes,No,High,Urban,No,No,Bad,Good,Yes,0.576316402
High,Low,No,High,High,Aedes aegypti,No,High,No,Yes,Low,Urban,Yes,Yes,Good,Good,Yes,0.774642158
High,Low,Yes,High,Low,Anopheles gambiae,Yes,Low,Yes,No,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.475320886
High,High,Yes,High,High,Anopheles gambiae,No,High,No,No,Low,Urban,No,No,Bad,Bad,No,0.387243837
High,High,No,High,Low,Culex quinquefasciatus,No,High,Yes,Yes,Low,Urban,Yes,No,Good,Bad,Yes,0.650707627
Low,Low,No,High,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,No,Bad,Good,Yes,0.043745885
Low,High,No,High,High,Culex quinquefasciatus,No,High,No,No,Low,Rural,No,No,Good,Bad,Yes,0.661909766
Low,High,No,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Rural,Yes,No,Good,Good,No,0.675583379
Low,High,Yes,Low,Low,Aedes aegypti,No,Low,Yes,No,High,Urban,Yes,No,Good,Good,No,0.49881863
High,High,No,High,Low,Anopheles gambiae,No,Low,No,Yes,Low,Urban,No,No,Bad,Bad,Yes,0.495423594
High,Low,Yes,High,Low,Aedes aegypti,No,Low,Yes,Yes,Low,Urban,No,No,Good,Bad,No,0.916806443
Low,High,Yes,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,No,Yes,Bad,Bad,No,0.300445745
High,Low,No,High,Low,Aedes aegypti,Yes,High,No,Yes,Low,Urban,No,No,Good,Good,No,0.485802992
High,High,Yes,Low,High,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Urban,No,Yes,Good,Good,Yes,0.918083058
Low,High,No,Low,Low,Aedes aegypti,Yes,High,No,No,High,Rural,No,Yes,Good,Bad,Yes,0.460674507
Low,Low,No,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,No,No,Good,Good,Yes,0.476786297
Low,Low,No,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,No,No,Good,Good,No,0.743867984
Low,Low,Yes,Low,Low,Aedes aegypti,No,High,Yes,Yes,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.075977034
Low,Low,Yes,Low,Low,Anopheles gambiae,No,Low,Yes,No,Low,Rural,No,No,Good,Bad,No,0.782695149
High,Low,No,High,High,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.403314235
Low,High,No,High,High,Aedes aegypti,Yes,Low,No,No,High,Rural,No,Yes,Good,Bad,Yes,0.659503496
Low,Low,Yes,High,High,Culex quinquefasciatus,Yes,High,No,No,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.431275346
Low,High,No,Low,High,Anopheles gambiae,No,Low,No,No,High,Urban,Yes,No,Bad,Good,No,0.126408104
High,High,No,High,Low,Anopheles gambiae,No,High,No,No,Low,Rural,Yes,Yes,Good,Good,Yes,0.431130241
Low,Low,Yes,Low,High,Aedes aegypti,No,High,Yes,No,High,Rural,Yes,No,Bad,Good,Yes,0.399878968
High,Low,No,High,High,Aedes aegypti,Yes,High,Yes,No,High,Urban,No,No,Bad,Bad,No,0.366767307
Low,Low,Yes,High,High,Anopheles gambiae,No,Low,Yes,No,Low,Rural,Yes,Yes,Bad,Good,Yes,0.822111222
Low,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Rural,No,Yes,Good,Bad,Yes,0.189746183
High,Low,No,High,Low,Aedes aegypti,Yes,Low,No,Yes,High,Rural,No,No,Bad,Bad,Yes,0.182496945
High,Low,No,Low,High,Culex quinquefasciatus,No,High,No,Yes,Low,Rural,Yes,No,Bad,Good,No,0.737879638
Low,Low,Yes,Low,High,Culex quinquefasciatus,Yes,Low,Yes,Yes,High,Rural,No,No,Good,Good,Yes,0.677265938
Low,High,No,High,Low,Aedes aegypti,Yes,High,Yes,No,High,Rural,No,Yes,Bad,Bad,Yes,0.471824667
High,High,No,Low,Low,Culex quinquefasciatus,No,Low,Yes,No,High,Rural,No,Yes,Bad,Good,No,0.600050846
High,Low,Yes,High,High,Anopheles gambiae,Yes,Low,No,No,High,Urban,Yes,No,Good,Good,No,0.726832943
High,Low,No,High,High,Aedes aegypti,No,Low,No,No,High,Urban,No,No,Bad,Good,Yes,0.384283024
High,Low,No,High,High,Anopheles gambiae,Yes,High,No,No,High,Urban,No,No,Bad,Good,Yes,0.714529938
High,Low,No,Low,Low,Anopheles gambiae,No,Low,No,No,High,Rural,Yes,No,Bad,Good,Yes,0.664545399
Low,High,No,High,Low,Culex quinquefasciatus,Yes,Low,No,No,Low,Urban,Yes,No,Good,Good,Yes,0.252331307
High,High,Yes,High,High,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,Yes,No,Good,Good,No,0.839395652
High,Low,Yes,Low,Low,Culex quinquefasciatus,No,Low,Yes,No,High,Rural,No,No,Bad,Bad,Yes,0.412182215
Low,Low,No,Low,Low,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Rural,Yes,Yes,Bad,Good,Yes,0.997014521
High,High,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,Yes,High,Urban,No,No,Good,Bad,Yes,0.674054212
High,High,No,High,High,Aedes aegypti,Yes,High,Yes,No,High,Urban,Yes,Yes,Bad,Bad,Yes,0.069096664
High,High,No,High,High,Aedes aegypti,Yes,Low,No,No,High,Urban,Yes,Yes,Bad,Bad,Yes,0.087567901
Low,High,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,High,Urban,Yes,Yes,Bad,Good,Yes,0.148111899
Low,High,No,High,High,Aedes aegypti,Yes,High,No,No,High,Urban,Yes,Yes,Bad,Bad,Yes,0.657807822
High,Low,No,Low,Low,Anopheles gambiae,No,High,No,No,High,Rural,Yes,No,Good,Bad,No,0.121166775
Low,Low,No,Low,Low,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,Yes,Yes,Good,Good,No,0.771000821
Low,Low,No,Low,High,Anopheles gambiae,No,Low,No,No,Low,Urban,No,Yes,Bad,Bad,Yes,0.700505936
Low,High,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Urban,No,Yes,Good,Bad,No,0.019475838
Low,High,No,High,High,Anopheles gambiae,No,High,Yes,No,Low,Rural,Yes,Yes,Good,Good,Yes,0.139003812
High,High,No,Low,Low,Anopheles gambiae,No,High,Yes,Yes,High,Rural,Yes,No,Good,Bad,No,0.746584171
High,High,No,High,High,Aedes aegypti,Yes,Low,No,No,High,Urban,Yes,Yes,Good,Bad,No,0.312443089
High,Low,Yes,High,High,Anopheles gambiae,Yes,Low,No,Yes,High,Urban,No,No,Good,Bad,Yes,0.324884114
High,Low,Yes,Low,Low,Aedes aegypti,No,Low,No,Yes,Low,Rural,Yes,No,Bad,Bad,No,0.706773054
High,High,No,High,Low,Anopheles gambiae,No,Low,Yes,No,High,Rural,No,Yes,Bad,Good,No,0.314646763
High,High,Yes,Low,Low,Aedes aegypti,Yes,Low,No,No,High,Rural,No,No,Good,Good,No,0.145315183
Low,High,No,Low,High,Aedes aegypti,No,High,Yes,Yes,High,Rural,No,Yes,Bad,Good,No,0.339554687
High,Low,Yes,High,Low,Aedes aegypti,Yes,High,No,No,High,Rural,Yes,No,Good,Good,No,0.098514665
Low,Low,No,Low,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Bad,Yes,0.811287889
Low,Low,No,High,High,Aedes aegypti,No,High,Yes,Yes,High,Rural,No,Yes,Bad,Bad,No,0.456898111
Low,Low,Yes,Low,High,Culex quinquefasciatus,No,High,No,Yes,High,Urban,Yes,Yes,Good,Good,Yes,0.678462592
High,High,Yes,Low,High,Anopheles gambiae,Yes,High,No,No,High,Rural,No,No,Good,Bad,No,0.94865066
Low,High,Yes,High,High,Anopheles gambiae,Yes,High,No,No,High,Urban,No,No,Good,Good,No,0.692707868
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,No,No,Good,Bad,No,0.994041674
High,High,No,High,Low,Aedes aegypti,Yes,High,No,Yes,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.980750456
Low,Low,No,Low,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,No,No,Good,Bad,No,0.548913894
High,High,No,Low,High,Aedes aegypti,No,Low,No,No,Low,Urban,No,Yes,Bad,Good,Yes,0.764363617
Low,High,No,High,High,Culex quinquefasciatus,Yes,Low,No,No,High,Urban,No,Yes,Good,Good,No,0.134867695
High,Low,No,Low,High,Aedes aegypti,Yes,Low,No,No,High,Urban,Yes,Yes,Bad,Bad,No,0.503981253
Low,High,No,High,Low,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,No,Yes,Bad,Good,No,0.376348295
Low,High,No,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,High,Urban,No,No,Bad,Bad,No,0.200610059
Low,Low,Yes,Low,Low,Aedes aegypti,No,Low,Yes,Yes,High,Urban,No,Yes,Good,Bad,No,0.777924675
Low,High,No,High,Low,Anopheles gambiae,No,High,Yes,No,Low,Rural,No,No,Good,Good,No,0.210778375
Low,Low,No,Low,Low,Culex quinquefasciatus,Yes,High,Yes,Yes,High,Urban,No,No,Good,Good,Yes,0.133969653
High,Low,Yes,Low,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,No,No,Good,Bad,Yes,0.140780654
High,Low,No,Low,High,Aedes aegypti,No,Low,Yes,Yes,Low,Urban,No,Yes,Good,Good,No,0.845952998
High,Low,No,High,Low,Anopheles gambiae,No,High,Yes,No,Low,Urban,Yes,No,Bad,Bad,Yes,0.62600728
High,High,Yes,Low,Low,Anopheles gambiae,No,Low,Yes,No,High,Rural,Yes,Yes,Bad,Good,Yes,0.482699975
Low,High,No,High,High,Aedes aegypti,No,High,No,No,High,Rural,Yes,No,Bad,Bad,No,0.847708521
High,Low,No,High,Low,Aedes aegypti,No,Low,Yes,Yes,High,Rural,No,No,Good,Good,Yes,0.785919255
